GeneName	PMID	PublicationYear
ATN1	28782341	2017
ATN1	28585930	2017
ATN1	27896316	2016
ATN1	27400454	2016
ATN1	26374734	2015
ATN1	26077168	2015
ATN1	25842919	2015
ATN1	25466696	2014
ATN1	24972706	2014
ATN1	24534762	2014
ATN1	23933208	2013
ATN1	23364790	2013
ATN1	23263592	2012
ATN1	23026538	2012
ATN1	22527233	2012
ATN1	22520093	2012
ATN1	22342974	2012
ATN1	22297462	2012
ATN1	21108634	2010
ATN1	20589872	2010
ATN1	19429075	2009
ATN1	19370769	2009
ATN1	19259763	2009
ATN1	19039037	2008
ATN1	18182848	2008
ATN1	17965145	2007
ATN1	17961920	2007
ATN1	17420317	2007
ATN1	16967484	2006
ATN1	16858508	2006
ATN1	16251216	2005
ATN1	16199124	2005
ATN1	15553088	2004
ATN1	15223312	2004
ATN1	15148151	2004
ATN1	15133824	2004
ATN1	14756671	2004
ATN1	12925365	2003
ATN1	12805114	2003
ATN1	12764052	2003
ATN1	12614315	2003
ATN1	12235319	2002
ATN1	12042281	2002
ATN1	11939898	2002
ATN1	11807410	2002
ATN1	11711886	2001
ATN1	11709002	2001
ATN1	11689158	2001
ATN1	11574112	2001
ATN1	11198291	2001
ATN1	10942107	2000
ATN1	10894992	2000
ATN1	10814707	2000
ATN1	10768629	2000
ATN1	10766906	2000
ATN1	10677044	2000
ATN1	10564878	1999
ATN1	10515170	1999
ATN1	10486315	1999
ATN1	10453742	1999
ATN1	10332026	1999
ATN1	10085113	1999
ATN1	10084125	1999
ATN1	9949204	1999
ATN1	9887337	1999
ATN1	9758625	1998
ATN1	9705838	1998
ATN1	9696528	1998
ATN1	9647693	1998
ATN1	9613852	1998
ATN1	9507387	1998
ATN1	9462738	1998
ATN1	9385362	1998
ATN1	9361003	1997
ATN1	9187480	1997
ATN1	9124808	1997
ATN1	9109905	1997
ATN1	9106530	1997
ATN1	9050922	1997
ATN1	9020849	1997
ATN1	8962095	1996
ATN1	9001798	1996
ATN1	8651298	1996
ATN1	8655136	1996
ATN1	8780110	1996
ATN1	8644735	1996
ATN1	8852663	1996
ATN1	8926495	1996
ATN1	8559378	1996
ATN1	8557266	1996
ATN1	7633415	1995
ATN1	7868125	1995
ATN1	7824105	1995
ATN1	7885531	1994
ATN1	7842016	1994
ATN1	8136840	1994
ATN1	8136826	1994
ATN1	7734112	1994
ATXN1	38125008	2023
ATXN1	37827155	2023
ATXN1	37776516	2023
