external_synonym	hgnc_symbol
OPCA3	ATXN7
SCA7	ATXN7
ATXN7	ATXN7
SCA7	ATXN7
ADCAII	ATXN7
OPCA3	ATXN7
SCA7	ATXN7
KLHL1AS	ATXN8OS
NCRNA00003	ATXN8OS
SCA8	ATXN8OS
KLHL1AS	ATXN8OS
NCRNA00003	ATXN8OS
SCA8	ATXN8OS
BEAN	BEAN1
SCA31	BEAN1
ALSFTD	C9orf72
FTDALS	C9orf72
611454	C9orf72
MGC23980	C9orf72
APCA	CACNA1A
BI	CACNA1A
CACNL1A4	CACNA1A
CAV2.1	CACNA1A
EA2	CACNA1A
FHM	CACNA1A
HPCA	CACNA1A
MHP	CACNA1A
MHP1	CACNA1A
SCA6	CACNA1A
CACH4	CACNA1A
CACN3	CACNA1A
CACNL1A4	CACNA1A
APCA	CACNA1A
CACNL1A4	CACNA1A
Cav2.1	CACNA1A
EA2	CACNA1A
FHM	CACNA1A
HPCA	CACNA1A
MHP	CACNA1A
MHP1	CACNA1A
SCA6	CACNA1A
C-CBL	CBL
CBL2	CBL
FRA11B	CBL
NSLL	CBL
RNF55	CBL
CBL2	CBL
RNF55	CBL
c-Cbl	CBL
CBL2	CBL
RNF55	CBL
CNBP1	CNBP
DM2	CNBP
PROMM	CNBP
RNF163	CNBP
ZCCHC22	CNBP
ZNF9	CNBP
600109	CNBP
RNF163	CNBP
ZNF9	CNBP
CNBP1	CNBP
DM2	CNBP
RNF163	CNBP
ZCCHC22	CNBP
ZNF9	CNBP
EDM1	COMP
EPD1	COMP
MED	COMP
PSACH	COMP
THBS5	COMP
177150	COMP
264150	COMP
264160	COMP
EDM1	COMP
EPD1	COMP
MED	COMP
PSACH	COMP
THBS5	COMP
CST6	CSTB
EPM1	CSTB
EPM1A	CSTB
PME	CSTB
STFB	CSTB
ULD	CSTB
184601	CSTB
CST6	CSTB
STFB	CSTB
CST6	CSTB
EPM1	CSTB
PME	CSTB
STFB	CSTB
	DAB1
KIAA1463	DIP2B
FLJ34278	DIP2B
KIAA1463	DIP2B
BMD	DMD
CMD3B	DMD
DXS142	DMD
DXS164	DMD
DXS206	DMD
DXS230	DMD
DXS239	DMD
DXS268	DMD
DXS269	DMD
DXS270	DMD
DXS272	DMD
DMD	DMD
BMD	DMD
DXS142	DMD
DXS164	DMD
DXS206	DMD
DXS230	DMD
DXS239	DMD
DXS268	DMD
DXS269	DMD
DXS270	DMD
DXS272	DMD
DM	DMPK
DM1	DMPK
DM1PK	DMPK
DMK	DMPK
MDPK	DMPK
MT-PK	DMPK
DM1PK	DMPK
MDPK	DMPK
DM	DMPK
DM1	DMPK
DM1PK	DMPK
DMK	DMPK
MDPK	DMPK
MT-PK	DMPK
DDX48	EIF4A3
eIF4AIII	EIF4A3
NMP265	EIF4A3
NUK34	EIF4A3
DDX48	EIF4A3
KIAA0111	EIF4A3
DDX48	EIF4A3
EIF4AIII	EIF4A3
KIAA0111	EIF4A3
FGF-14	FGF14
FHF-4	FGF14
FHF4	FGF14
SCA27	FGF14
FHF4	FGF14
FHF4	FGF14
SCA27	FGF14
FMRP	FMR1
FRAXA	FMR1
POF	FMR1
POF1	FMR1
229150	FMR1
176440	FMR1
FMRP	FMR1
FRAXA	FMR1
MGC87458	FMR1
POF	FMR1
POF1	FMR1
FMRP	FMR1
FRAXA	FMR1
POF	FMR1
POF1	FMR1
229150	FMR1
176440	FMR1
FMRP	FMR1
FRAXA	FMR1
MGC87458	FMR1
POF	FMR1
POF1	FMR1
BPES	FOXL2
BPES1	FOXL2
PFRK	FOXL2
PINTO	FOXL2
POF3	FOXL2
BPES	FOXL2
BPES1	FOXL2
CyaY	FXN
FA	FXN
FARR	FXN
FRDA	FXN
X25	FXN
FRDA	FXN
X25	FXN
CyaY	FXN
FA	FXN
FARR	FXN
FRDA	FXN
X25	FXN
C19orf3	GIPC1
GIPC	GIPC1
GLUT1CBP	GIPC1
Hs.6454	GIPC1
IIP-1	GIPC1
NIP	GIPC1
RGS19IP1	GIPC1
SEMCAP	GIPC1
SYNECTIIN	GIPC1
SYNECTIN	GIPC1
TIP-2	GIPC1
C19orf3	GIPC1
GIPC	GIPC1
RGS19IP1	GIPC1
C19orf3	GIPC1
GIPC	GIPC1
GLUT1CBP	GIPC1
Hs.6454	GIPC1
NIP	GIPC1
RGS19IP1	GIPC1
SEMCAP	GIPC1
SYNECTIN	GIPC1
TIP-2	GIPC1
AAD20	GLS
GAC	GLS
GAM	GLS
GLS1	GLS
KGA	GLS
GLS1	GLS
KIAA0838	GLS
GLS1	GLS
KIAA0838	GLS
HOX1	HOXA13
HOX1J	HOXA13
HOX1J	HOXA13
HOX1	HOXA13
HOX1J	HOXA13
BDE	HOXD13
