external_synonym	hgnc_symbol
FLJ39378	RILPL1
AML3	RUNX2
CBF-alpha-1	RUNX2
CBFA1	RUNX2
CCD	RUNX2
CCD1	RUNX2
CLCD	RUNX2
OSF-2	RUNX2
OSF2	RUNX2
PEA2aA	RUNX2
PEBP2aA	RUNX2
AML3	RUNX2
CBFA1	RUNX2
OSF2	RUNX2
PEBP2A	RUNX2
AML3	RUNX2
CBFA1	RUNX2
CCD	RUNX2
CCD1	RUNX2
PEBP2A1	RUNX2
PEBP2aA1	RUNX2
FLJ39458	SAMD12
GHDX	SOX3
MRGH	SOX3
PHP	SOX3
PHPX	SOX3
SOXB	SOX3
PHP	SOX3
GTT1	STARD7
GTT1	STARD7
GTT1	STARD7
BA2R	TAF1
CCG1	TAF1
CCGS	TAF1
DYT3	TAF1
DYT3/TAF1	TAF1
KAT4	TAF1
N-TAF1	TAF1
NSCL2	TAF1
OF	TAF1
P250	TAF1
TAF(II)250	TAF1
TAF2A	TAF1
TAFII-250	TAF1
TAFII250	TAF1
XDP	TAF1
BA2R	TAF1
CCG1	TAF1
CCGS	TAF1
TAF2A	TAF1
BA2R	TAF1
CCG1	TAF1
CCGS	TAF1
DYT3	TAF1
DYT3/TAF1	TAF1
KAT4	TAF1
NSCL2	TAF1
TAF2A	TAF1
TAFII250	TAF1
GTF2D	TBP
GTF2D1	TBP
HDL4	TBP
SCA17	TBP
TFIID	TBP
GTF2D1	TBP
TF2D	TBP
TFIID	TBP
GTF2D1	TBP
SCA17	TBP
TFIID	TBP
CAFS	TBX1
CTHM	TBX1
DGCR	TBX1
DGS	TBX1
DORV	TBX1
TBX1C	TBX1
TGA	TBX1
VCFS	TBX1
245210	TBX1
bHLHb19	TCF4
E2-2	TCF4
ITF-2	TCF4
ITF2	TCF4
PTHS	TCF4
SEF-2	TCF4
SEF2	TCF4
SEF2-1	TCF4
SEF2-1A	TCF4
SEF2-1B	TCF4
SEF2-1D	TCF4
TCF-4	TCF4
BHLHB19	TCF4
ITF2	TCF4
SEF2	TCF4
bHLHb19	TCF4
E2-2	TCF4
ITF2	TCF4
SEF2-1B	TCF4
CTG-B43a	THAP11
CTG-B45d	THAP11
RONIN	THAP11
CTG-B43a	THAP11
CTG-B45d	THAP11
HRIHFB2206	THAP11
CAGH26	TNRC6A
GW1	TNRC6A
GW182	TNRC6A
TNRC6	TNRC6A
CAGH26	TNRC6A
KIAA1460	TNRC6A
TNRC6	TNRC6A
CAGH26	TNRC6A
GW182	TNRC6A
KIAA1460	TNRC6A
TNRC6	TNRC6A
WARP	VWA1
FLJ22215	VWA1
VWA-1	VWA1
WARP	VWA1
PXYLT1	XYLT1
XT-I	XYLT1
XT1	XYLT1
XTI	XYLT1
XYLTI	XYLT1
XT1	XYLT1
PXYLT1	XYLT1
XT-I	XYLT1
KIAA1197	YEATS2
FLJ10201	YEATS2
FLJ12841	YEATS2
FLJ13308	YEATS2
KIAA1197	YEATS2
ATBF1	ZFHX3
ATBT	ZFHX3
ZNF927	ZFHX3
ATBF1	ZFHX3
ATBF1	ZFHX3
ZNF927	ZFHX3
HPE5	ZIC2
HPE5	ZIC2
HTX	ZIC3
HTX1	ZIC3
VACTERLX	ZIC3
ZNF203	ZIC3
304750	ZIC3
ZNF203	ZIC3
HTX	ZIC3
HTX1	ZIC3
ZNF203	ZIC3
FLJ39963	ZNF713
